"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
1,"Home Alone (1990)","cartoonish","[Forrest Gump (1994),Good Will Hunting (1997),The Silence of the Lambs (1991),Pulp Fiction (1994)]",NULL,"[Snow White and the Seven Dwarfs (1937),Toy Story 2 (1999),The Lion King (1994),Monsters, Inc. (2001),The Sixth Sense (1999),Chicken Run (2000)]"
1,"Home Alone (1990)","fictionalized","[Pulp Fiction (1994),The Silence of the Lambs (1991),Schindler's List (1993)]",NULL,"[Aliens (1986),The Incredibles (2004),Snow White and the Seven Dwarfs (1937),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Spider-Man (2002),The Lion King (1994),Monsters, Inc. (2001)]"
1,"Home Alone (1990)","light-hearted","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Aliens (1986),Pulp Fiction (1994),Jurassic Park (1993),Schindler's List (1993),Alien (1979)]","[Toy Story 2 (1999),Monsters, Inc. (2001),The Lion King (1994),Snow White and the Seven Dwarfs (1937)]",NULL
1,"Home Alone (1990)","twisty","[Good Will Hunting (1997),E.T. the Extra-Terrestrial (1982),Snow White and the Seven Dwarfs (1937),Spider-Man (2002),The Incredibles (2004)]","[Toy Story 2 (1999),Chicken Run (2000),Aliens (1986)]","[Schindler's List (1993),Pulp Fiction (1994)]"
1,"Home Alone (1990)","violent","[The Lion King (1994),Monsters, Inc. (2001),Ghost (1990)]","[Aliens (1986),Spider-Man (2002),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),E.T. the Extra-Terrestrial (1982)]","[The Incredibles (2004),Jurassic Park (1993),Schindler's List (1993)]"
2,"Home Alone (1990)","mindless","[Minority Report (2002),Unbreakable (2000),X2: X-Men United (2003),Speed (1994),Broken Arrow (1996)]","[Chicken Run (2000),Willy Wonka & the Chocolate Factory (1971)]","[Happy Gilmore (1996),Beauty and the Beast (1991)]"
3,"Home Alone (1990)","budget","[Star Wars: Episode VI - Return of the Jedi (1983)]","[There's Something About Mary (1998),The Mask (1994),The Santa Clause (1994),Kill Bill: Vol. 2 (2004)]","[Jurassic Park (1993),Charlie's Angels (2000),Aladdin (1992),The Little Mermaid (1989),Finding Nemo (2003)]"
3,"Home Alone (1990)","juvenile humor","[Being John Malkovich (1999),Total Recall (1990),The Silence of the Lambs (1991),Pirates of the Caribbean: The Curse of the Black Pearl (2003),Austin Powers: The Spy Who Shagged Me (1999),X2: X-Men United (2003)]","[Beauty and the Beast (1991),Toy Story (1995),Bug's Life, A (1998),Spider-Man (2002)]",NULL
3,"Home Alone (1990)","make you think",NULL,"[Who Framed Roger Rabbit? (1988),The Incredibles (2004),Mission: Impossible II (2000)]","[Star Wars: Episode V - The Empire Strikes Back (1980),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Rocky (1976),Mars Attacks! (1996),The Sixth Sense (1999),Kill Bill: Vol. 1 (2003),The Mask (1994)]"
5,"Home Alone (1990)","pointless","[Alien (1979),Platoon (1986),Star Trek: First Contact (1996),The Lord of the Rings: The Two Towers (2002),Ghost (1990),The Net (1995),The Bourne Identity (2002),Minority Report (2002)]","[Top Gun (1986),Shrek (2001)]",NULL
6,"Home Alone (1990)","make you think","[Ace Ventura: Pet Detective (1994),Star Wars: Episode VI - Return of the Jedi (1983),Fish Called Wanda, A (1988),The Breakfast Club (1985),Forrest Gump (1994),Edward Scissorhands (1990),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]","[Snow White and the Seven Dwarfs (1937),Harry Potter and the Chamber of Secrets (2002)]","[Chicken Run (2000)]"
7,"Home Alone (1990)","artsy","[The Bourne Identity (2002),The Terminator (1984)]","[The Little Mermaid (1989),Beauty and the Beast (1991),Harry Potter and the Chamber of Secrets (2002),Ace Ventura: Pet Detective (1994),Snow White and the Seven Dwarfs (1937)]","[Braveheart (1995),The Sound of Music (1965),The Breakfast Club (1985)]"
7,"Home Alone (1990)","impactful","[Back to the Future (1985),The Little Mermaid (1989),Who Framed Roger Rabbit? (1988)]","[Shrek (2001),Aliens (1986),Pretty Woman (1990)]","[Rocky (1976),Kill Bill: Vol. 1 (2003),Meet the Parents (2000),The Matrix Reloaded (2003)]"
8,"Home Alone (1990)","light-hearted","[Being John Malkovich (1999),Trainspotting (1996),Erin Brockovich (2000),Donnie Darko (2001),Terminator 2: Judgment Day (1991)]","[The Mummy (1999),Batman (1989)]","[Austin Powers: The Spy Who Shagged Me (1999),Finding Nemo (2003),Toy Story (1995)]"
9,"Home Alone (1990)","cheesy","[Enemy of the State (1998),Con Air (1997),Catch Me If You Can (2002)]","[Philadelphia (1993),Robin Hood: Men in Tights (1993),Beautiful Mind, A (2001),The Matrix Reloaded (2003)]","[American Pie (1999),Beauty and the Beast (1991),Jumanji (1995)]"
10,"Home Alone (1990)","impactful","[X-Men (2000),Chicken Run (2000),It's a Wonderful Life (1946),The Shining (1980),Indiana Jones and the Temple of Doom (1984)]","[The Little Mermaid (1989),The Lord of the Rings: The Two Towers (2002),Star Wars: Episode I - The Phantom Menace (1999),Willy Wonka & the Chocolate Factory (1971),Men in Black (a.k.a. MIB) (1997)]",NULL
10,"Home Alone (1990)","tongue and cheek","[X-Men (2000),Gladiator (2000),Pretty Woman (1990),Batman Begins (2005)]","[Snow White and the Seven Dwarfs (1937),The Nightmare Before Christmas (1993),Star Wars: Episode IV - A New Hope (1977)]","[Monsters, Inc. (2001),Dumb & Dumber (Dumb and Dumber) (1994),E.T. the Extra-Terrestrial (1982)]"
11,"Home Alone (1990)","harsh",NULL,"[Toy Story 2 (1999),Finding Nemo (2003),Good Will Hunting (1997),Jumanji (1995),The Breakfast Club (1985)]","[The Nightmare Before Christmas (1993),The Lost World: Jurassic Park (1997),The Lord of the Rings: The Two Towers (2002),The Terminator (1984),Fight Club (1999)]"
11,"Home Alone (1990)","pointless","[Mary Poppins (1964),Terminator 2: Judgment Day (1991),Spider-Man 2 (2004),Full Metal Jacket (1987),The Dark Knight (2008),Kill Bill: Vol. 1 (2003)]","[E.T. the Extra-Terrestrial (1982),Harry Potter and the Chamber of Secrets (2002),Beauty and the Beast (1991)]","[Chicken Run (2000)]"
11,"Home Alone (1990)","tearful",NULL,"[Shrek 2 (2004),Toy Story 2 (1999),Harry Potter and the Chamber of Secrets (2002),Pulp Fiction (1994),Star Wars: Episode IV - A New Hope (1977),The Mummy (1999)]","[The Matrix Reloaded (2003),Finding Nemo (2003),Forrest Gump (1994),The Sixth Sense (1999)]"
12,"Home Alone (1990)","fictionalized","[Goodfellas (1990),Meet the Parents (2000)]","[Austin Powers: International Man of Mystery (1997),Airplane! (1980)]","[Armageddon (1998),Beauty and the Beast (1991),Eternal Sunshine of the Spotless Mind (2004),Spider-Man 2 (2004),Toy Story 2 (1999),Spider-Man (2002)]"
13,"Home Alone (1990)","unique story","[The Mask (1994),Shrek (2001),Dumb & Dumber (Dumb and Dumber) (1994)]","[Aladdin (1992),Ace Ventura: Pet Detective (1994),American Pie (1999)]","[Mrs. Doubtfire (1993),Forrest Gump (1994),Grease (1978),Air Force One (1997)]"
14,"Home Alone (1990)","feels real","[The Terminator (1984),Ghost (1990),Men in Black (a.k.a. MIB) (1997),The Lost World: Jurassic Park (1997),The Mask (1994)]","[Babe (1995),There's Something About Mary (1998),The Nutty Professor (1996)]","[Traffic (2000),Twister (1996)]"
