"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
14,"Pleasantville (1998)","artsy","[Armageddon (1998),Batman Begins (2005)]","[The Sound of Music (1965),Speed (1994),The Santa Clause (1994),The Lost World: Jurassic Park (1997),Grease (1978)]","[Run Lola Run (Lola rennt) (1998),Shrek (2001),Jumanji (1995)]"
14,"Meet the Parents (2000)","impactful","[Ace Ventura: Pet Detective (1994),Babe (1995)]","[Batman Begins (2005)]","[Toy Story 2 (1999),Toy Story (1995),Erin Brockovich (2000),Jaws (1975),Aladdin (1992),The Wizard of Oz (1939),Finding Nemo (2003)]"
10,"Titanic (1997)","action filled",NULL,"[E.T. the Extra-Terrestrial (1982)]","[Apollo 13 (1995),The Lord of the Rings: The Return of the King (2003),The Wizard of Oz (1939),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Jurassic Park (1993),Star Trek: Generations (1994),Indiana Jones and the Temple of Doom (1984),Robin Hood: Men in Tights (1993),Who Framed Roger Rabbit? (1988)]"
10,"The Mask (1994)","animated","[The Godfather (1972),The Lord of the Rings: The Two Towers (2002),Gone with the Wind (1939)]","[The Sound of Music (1965),E.T. the Extra-Terrestrial (1982),Back to the Future (1985),Back to the Future Part II (1989)]","[Shrek 2 (2004),The Lion King (1994),The Wizard of Oz (1939)]"
10,"Chicken Run (2000)","artsy","[Pretty Woman (1990),The Godfather (1972),The Terminator (1984)]","[Austin Powers: The Spy Who Shagged Me (1999)]","[The Lion King (1994),The Princess Bride (1987),Back to the Future Part III (1990),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Jurassic Park (1993),Pirates of the Caribbean: The Curse of the Black Pearl (2003)]"
10,"Mary Poppins (1964)","believable","[Shrek 2 (2004),The Nightmare Before Christmas (1993),Chicken Run (2000)]","[Willy Wonka & the Chocolate Factory (1971),The Mask (1994),Monsters, Inc. (2001),The Santa Clause (1994)]","[Pretty Woman (1990),The Lord of the Rings: The Return of the King (2003),The Lord of the Rings: The Two Towers (2002)]"
10,"Grease (1978)","big budget","[The Shining (1980)]","[Mary Poppins (1964)]","[The Little Mermaid (1989),Shrek (2001),The Incredibles (2004),Ghostbusters (a.k.a. Ghost Busters) (1984),Spider-Man (2002),RoboCop (1987),Clueless (1995),Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)]"
10,"To Kill a Mockingbird (1962)","bizarre","[Fight Club (1999)]","[Mission: Impossible (1996),Snow White and the Seven Dwarfs (1937),The Sound of Music (1965)]","[Star Trek: Generations (1994),The Lost World: Jurassic Park (1997),Beauty and the Beast (1991),The Blair Witch Project (1999),The Incredibles (2004),Batman Begins (2005)]"
10,"Apollo 13 (1995)","boring","[The Lion King (1994),Home Alone (1990),Bug's Life, A (1998),The Godfather: Part II (1974),The Nightmare Before Christmas (1993)]","[The Breakfast Club (1985),Gladiator (2000),The Lost World: Jurassic Park (1997)]","[The Sound of Music (1965),Grease (1978)]"
10,"Men in Black (a.k.a. MIB) (1997)","budget","[Dumb & Dumber (Dumb and Dumber) (1994),Addams Family Values (1993)]","[Spider-Man 2 (2004),Back to the Future (1985),Back to the Future Part II (1989)]","[Ghostbusters (a.k.a. Ghost Busters) (1984),Monsters, Inc. (2001),Shrek (2001),The Lion King (1994),The Lord of the Rings: The Fellowship of the Ring (2001)]"
