"rater_id","reference_title","soft_attribute","less_than","about_as","more_than"
1,"Jurassic Park (1993)","artsy","[Monsters, Inc. (2001),Home Alone (1990),Aliens (1986),Toy Story 2 (1999),The Incredibles (2004)]","[The Sixth Sense (1999),Alien (1979)]","[The Lion King (1994),Pulp Fiction (1994),The Silence of the Lambs (1991)]"
1,"The Silence of the Lambs (1991)","heartfelt","[Snow White and the Seven Dwarfs (1937),Home Alone (1990),Chicken Run (2000),Toy Story 2 (1999),Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),Monsters, Inc. (2001)]","[Good Will Hunting (1997),Forrest Gump (1994)]","[Schindler's List (1993),The Sixth Sense (1999)]"
14,"Pleasantville (1998)","artsy","[Armageddon (1998),Batman Begins (2005)]","[The Sound of Music (1965),Speed (1994),The Santa Clause (1994),The Lost World: Jurassic Park (1997),Grease (1978)]","[Run Lola Run (Lola rennt) (1998),Shrek (2001),Jumanji (1995)]"
2,"Lethal Weapon (1987)","artsy","[Harry Potter and the Sorcerer's Stone (a.k.a. Harry Potter and the Philosopher's Stone) (2001),The Mask (1994),E.T. the Extra-Terrestrial (1982)]","[Twelve Monkeys (a.k.a. 12 Monkeys) (1995)]","[Life Is Beautiful (La Vita è bella) (1997),Kill Bill: Vol. 2 (2004),It's a Wonderful Life (1946),As Good as It Gets (1997),Forrest Gump (1994)]"
2,"Naked Gun 33 1/3: The Final Insult (1994)","heartfelt",NULL,"[Charlie's Angels (2000),Catch Me If You Can (2002)]","[Shrek (2001),Mary Poppins (1964),The Little Mermaid (1989),Twister (1996),Armageddon (1998)]"
3,"Top Gun (1986)","artsy","[Scream (1996),Addams Family Values (1993),Willy Wonka & the Chocolate Factory (1971)]","[Good Will Hunting (1997),GoldenEye (1995)]","[Shrek 2 (2004),Toy Story (1995),Aladdin (1992),The Lost World: Jurassic Park (1997),The Lord of the Rings: The Return of the King (2003)]"
3,"Forrest Gump (1994)","heartfelt","[Honey, I Shrunk the Kids (1989),Ace Ventura: Pet Detective (1994),Liar Liar (1997),Pulp Fiction (1994),Spider-Man 2 (2004),Clockwork Orange, A (1971),Grease (1978)]","[E.T. the Extra-Terrestrial (1982),Back to the Future (1985),Minority Report (2002)]",NULL
4,"Chicken Run (2000)","artsy","[Mary Poppins (1964),Die Hard: With a Vengeance (1995),Jaws (1975),Home Alone (1990),Meet the Parents (2000),Titanic (1997),Forrest Gump (1994)]",NULL,"[Shrek 2 (2004),Batman Forever (1995),The Little Mermaid (1989)]"
4,"Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)","heartfelt",NULL,"[X2: X-Men United (2003),Clerks (1994),Fight Club (1999),Crouching Tiger, Hidden Dragon (Wo hu cang long) (2000),Braveheart (1995),Twister (1996)]","[Beauty and the Beast (1991),Titanic (1997),Monsters, Inc. (2001),Beetlejuice (1988)]"
5,"Star Wars: Episode I - The Phantom Menace (1999)","artsy","[Lethal Weapon (1987),Naked Gun 33 1/3: The Final Insult (1994),Austin Powers: International Man of Mystery (1997)]","[The Godfather (1972),Beauty and the Beast (1991),The Crow (1994),Memento (2000),The Incredibles (2004),Shrek (2001)]","[The Nightmare Before Christmas (1993)]"
