_id,Year,Registered Vehicles,Population,Road Crashes,Road Deaths,Serious Injury,Slight Injury,Index per 10000 Vehicles,Index per 100000 Population,Index per billion VKT
1,1997,8550469,21769300,215632,6302,14105,36167,7.37036,28.94902,33.57000
2,1998,9141357,22333500,211037,5740,12068,37896,6.27916,25.70130,28.75000
3,1999,9929951,22909500,223166,5794,10366,36777,5.83487,25.29082,26.79000
4,2000,10598804,23494900,250429,6035,9790,34375,5.69404,25.68643,26.25000
5,2001,11302545,24030500,265175,5849,8680,35944,5.17494,24.33990,23.93000
6,2002,12068144,24542500,279711,5891,8425,35236,4.88145,24.00326,22.71000
7,2003,12819248,25038100,298653,6286,9040,37415,4.90356,25.10574,22.77000
8,2004,13764837,25541500,326815,6228,9218,38645,4.52457,24.38385,21.10000
9,2005,14733585,26045500,328264,6200,9395,31417,4.20807,23.80450,19.58000
10,2006,15790732,26549900,341252,6287,9253,19885,3.98145,23.67994,18.69000
11,2007,16813943,27058400,363319,6282,9273,18444,3.73618,23.21645,17.60000
12,2008,17733084,27567600,373071,6527,8868,16879,3.68069,23.67634,17.65000
13,2009,18933237,28081500,397330,6745,8849,15823,3.56252,24.01937,17.27000
14,2010,20006953,28588600,414421,6872,7781,13616,3.43481,24.03755,16.21000
15,2011,21311630,29062000,449040,6877,6328,12365,3.22688,23.66320,14.68000
16,2012,22590123,29510000,462423,6917,5868,11654,3.06196,23.43951,13.35000
17,2013,23434640,30213700,477204,6915,4597,8388,2.95076,22.88697,12.19000
18,2014,25101192,30708500,476196,6674,4432,8598,2.65884,21.73340,10.64000
19,2015,26301952,31186100,489606,6706,4120,7432,2.54962,21.50317,9.60000
20,2016,27638067,31633500,521466,7152,4506,7415,2.58774,22.60894,10.70000
21,2017,28738194,32049700,0,6740,0,0,2.34531,21.02984,9.59000
