"band","event_date","species_name","age_description","sex_description"
"B06814289038","5/22/02","Warbling Vireo","After Hatching Year","Unknown"
"B06834226076","2/5/97","White-eyed Vireo","After Hatching Year","Unknown"
"B06834537033","9/28/01","Red-eyed Vireo","After Hatching Year","Unknown"
"B06834538078","9/6/01","Red-eyed Vireo","Hatching Year","Unknown"
"B06834760300","2/8/96","La Sagra's Flycatcher","After Hatching Year","Unknown"
"B06834762078","12/8/95","La Sagra's Flycatcher","Unknown","Unknown"
"B06834824074","2/9/96","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07033377537","2/26/19","Yellow-bellied Flycatcher","Second Year","Unknown"
"B07033378413","12/20/18","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07033378577","12/5/18","Yellow-bellied Flycatcher","Unknown","Unknown"
"B07193034041","10/18/19","White-eyed Vireo","Hatching Year","Unknown"
"B07193034203","9/27/19","White-eyed Vireo","Hatching Year","Unknown"
"B07193034363","9/26/19","Red-eyed Vireo","Hatching Year","Unknown"
"B07193034527","3/10/19","White-eyed Vireo","Second Year","Unknown"
"B07193034763","10/26/19","White-eyed Vireo","Hatching Year","Unknown"
"B07193035483","10/3/18","White-eyed Vireo","Hatching Year","Unknown"
"B07203297147","1/9/17","Unidentified Empidonax","After Hatching Year","Unknown"
"B07203297707","3/15/17","Acadian Flycatcher","Second Year","Unknown"
"B07203297787","3/17/17","Acadian Flycatcher","Second Year","Unknown"
"B07203298422","3/16/18","Willow Flycatcher","Second Year","Unknown"
"B07203299542","1/25/16","Eastern Wood-Pewee","After Hatching Year","Unknown"
"B07203991039","11/6/15","Least Flycatcher","Hatching Year","Unknown"
"B07213222072","1/19/14","White-eyed Vireo","Second Year","Unknown"
"B07214097000","9/25/19","Red-eyed Vireo","Hatching Year","Unknown"
"B07214097247","10/15/18","Red-eyed Vireo","Hatching Year","Unknown"
"B07223180543","2/1/15","Yellow-throated Vireo","After Hatching Year","Unknown"
"B07243546075","4/12/15","Red-eyed Vireo","After Hatching Year","Unknown"
"B07253827033","2/8/17","Philadelphia Vireo","After Second Year","Unknown"
"B07283557035","3/31/18","Traill's Flycatcher","After Hatching Year","Unknown"
"B07283593037","10/24/19","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07293180148","2/2/16","Willow Flycatcher","After Hatching Year","Unknown"
"B07293180780","1/30/16","Willow Flycatcher","After Hatching Year","Unknown"
"B07293180867","2/1/16","Cordilleran Flycatcher","After Hatching Year","Unknown"
"B07303686506","7/1/10","Bell's Vireo","Hatching Year","Unknown"
"B07303686588","7/9/10","Bell's Vireo","Hatching Year","Unknown"
"B07313014043","12/6/10","Least Flycatcher","Unknown","Unknown"
"B07313825032","3/5/18","White-eyed Vireo","Second Year","Unknown"
"B07323072923","11/30/17","Gray Flycatcher","After Hatching Year","Unknown"
"B07323836078","5/9/11","Least Flycatcher","Second Year","Unknown"
"B07324722072","6/22/15","Bahama Swallow","After Hatching Year","Female"
"B07333808453","1/12/14","Acadian Flycatcher","After Hatching Year","Unknown"
"B07333809173","1/11/18","Acadian Flycatcher","After Second Year","Unknown"
"B07333809818","2/20/18","Acadian Flycatcher","After Hatching Year","Unknown"
"B07343414074","3/6/11","White-eyed Vireo","After Hatching Year","Unknown"
"B07343590229","1/16/14","Traill's Flycatcher","After Hatching Year","Unknown"
"B07343590300","1/12/14","Traill's Flycatcher","After Hatching Year","Unknown"
"B07343590463","12/21/13","Traill's Flycatcher","Hatching Year","Unknown"
"B07343590544","12/11/13","Traill's Flycatcher","After Hatching Year","Unknown"
"B07343596074","2/17/16","Unidentified Empidonax","After Hatching Year","Unknown"
"B07373120543","5/19/11","Yellow-bellied Flycatcher","Second Year","Unknown"
"B07373120702","5/23/11","Traill's Flycatcher","After Second Year","Unknown"
"B07373120780","5/23/11","Traill's Flycatcher","After Second Year","Unknown"
"B07373120867","5/22/11","Traill's Flycatcher","After Second Year","Unknown"
"B07373120943","5/21/11","Traill's Flycatcher","After Second Year","Unknown"
"B07373121033","5/18/11","Traill's Flycatcher","Second Year","Unknown"
"B07373190621","4/25/11","Least Flycatcher","Second Year","Unknown"
"B07373198077","4/28/11","Traill's Flycatcher","After Second Year","Unknown"
"B07373236076","7/3/14","Bahama Swallow","Hatching Year","Unknown"
"B07383058045","7/30/13","Black-capped Vireo","Local","Unknown"
"B07383058073","7/7/13","Black-capped Vireo","Local","Unknown"
"B07383058128","7/15/13","Black-capped Vireo","Hatching Year","Male"
"B07383058283","7/12/13","Black-capped Vireo","Hatching Year","Male"
"B07383058443","7/22/13","Black-capped Vireo","Local","Unknown"
"B07383058520","7/20/13","Black-capped Vireo","Local","Unknown"
"B07383058928","7/6/13","Black-capped Vireo","Local","Unknown"
"B07403004427","12/16/09","Least Flycatcher","Hatching Year","Unknown"
"B07403004440","12/14/09","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07403004453","12/14/09","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403004523","11/18/09","Least Flycatcher","After Hatching Year","Unknown"
"B07403004530","11/17/09","Least Flycatcher","Hatching Year","Unknown"
"B07403004580","11/24/09","Least Flycatcher","After Hatching Year","Unknown"
"B07403005000","11/30/09","Least Flycatcher","After Hatching Year","Unknown"
"B07403005030","11/17/09","Least Flycatcher","Hatching Year","Unknown"
"B07403005064","12/21/09","Least Flycatcher","Hatching Year","Unknown"
"B07403005083","12/14/09","Least Flycatcher","After Hatching Year","Unknown"
"B07403005090","12/11/09","Least Flycatcher","Hatching Year","Unknown"
"B07403005140","10/28/09","Yellow-bellied Flycatcher","Unknown","Unknown"
"B07403005223","10/8/09","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403005300","9/30/09","Willow Flycatcher","After Hatching Year","Unknown"
"B07403005380","10/6/09","Willow Flycatcher","Hatching Year","Unknown"
"B07403005407","9/24/09","Willow Flycatcher","Hatching Year","Unknown"
"B07403005547","3/26/09","Yellow-bellied Flycatcher","Second Year","Unknown"
"B07403005560","4/29/09","Barn Swallow","After Hatching Year","Unknown"
"B07403005573","4/28/09","Alder Flycatcher","After Second Year","Unknown"
"B07403005940","1/6/10","Least Flycatcher","Second Year","Unknown"
"B07403005967","2/25/10","Least Flycatcher","Second Year","Unknown"
"B07403066040","12/16/08","Least Flycatcher","Hatching Year","Unknown"
"B07403066076","12/18/08","Least Flycatcher","Hatching Year","Unknown"
"B07403066104","11/27/08","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403066123","11/26/08","Least Flycatcher","Hatching Year","Unknown"
"B07403066180","12/9/08","Least Flycatcher","Hatching Year","Unknown"
"B07403066200","11/19/08","Least Flycatcher","After Hatching Year","Unknown"
"B07403066263","11/21/08","Warbling Vireo","Hatching Year","Unknown"
"B07403066286","11/20/08","Least Flycatcher","Hatching Year","Unknown"
"B07403066366","9/26/08","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403066506","3/26/08","Least Flycatcher","Second Year","Unknown"
"B07403066524","3/25/08","Warbling Vireo","Second Year","Unknown"
"B07403066587","3/26/08","Least Flycatcher","Second Year","Unknown"
"B07403066846","3/6/09","Least Flycatcher","Second Year","Unknown"
"B07403066900","2/19/09","Least Flycatcher","Second Year","Unknown"
"B07403066926","1/27/09","Warbling Vireo","Second Year","Unknown"
"B07403066986","2/26/08","Warbling Vireo","Second Year","Unknown"
"B07403067007","1/18/09","Least Flycatcher","After Second Year","Unknown"
"B07403067033","12/27/08","Least Flycatcher","After Hatching Year","Unknown"
"B07403067084","1/18/09","Least Flycatcher","After Second Year","Unknown"
"B07403067160","12/11/08","Least Flycatcher","Hatching Year","Unknown"
"B07403067224","11/16/08","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403067383","9/28/08","Least Flycatcher","Hatching Year","Unknown"
"B07403067406","4/28/08","Least Flycatcher","Second Year","Unknown"
"B07403067487","4/30/08","Willow Flycatcher","Second Year","Unknown"
"B07403067546","3/18/08","Warbling Vireo","Second Year","Unknown"
"B07403067567","3/26/08","Barn Swallow","Second Year","Unknown"
"B07403067644","9/19/09","Western Wood-Pewee","Hatching Year","Unknown"
"B07403067720","8/25/09","Western Wood-Pewee","Hatching Year","Unknown"
"B07403067860","8/21/09","Least Flycatcher","Hatching Year","Unknown"
"B07403067966","4/9/09","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B07403068070","10/14/10","Yellow-bellied Flycatcher","Hatching Year","Unknown"
"B07403068106","3/15/10","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B07403068267","11/29/09","Least Flycatcher","Hatching Year","Unknown"
"B07403068280","11/13/09","Least Flycatcher","After Hatching Year","Unknown"
"B07403068420","10/6/08","Least Flycatcher","Hatching Year","Unknown"
"B07403068503","4/17/08","Philadelphia Vireo","Second Year","Unknown"
"B07403068526","4/16/08","Least Flycatcher","Second Year","Unknown"
"B07403091629","11/28/08","White-eyed Vireo","After Hatching Year","Unknown"
"B07403091701","11/28/08","White-eyed Vireo","After Hatching Year","Unknown"
"B07403099640","1/13/09","White-eyed Vireo","After Second Year","Unknown"
"B07403359703","1/15/14","Philadelphia Vireo","Second Year","Unknown"
"B07403359783","1/16/14","Philadelphia Vireo","After Hatching Year","Unknown"
"B07403390303","9/28/13","Dusky Flycatcher","Hatching Year","Unknown"
"B07403399069","12/11/14","Gray Flycatcher","Hatching Year","Unknown"
"B07403399380","3/14/14","Bell's Vireo","Second Year","Unknown"
"B07403504450","5/28/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403504507","5/24/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403504533","5/24/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403504584","5/26/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505010","5/20/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505035","5/20/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505067","5/21/08","Yellow-bellied Flycatcher","After Second Year","Unknown"
"B07403505093","5/20/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505144","5/19/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505220","5/17/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505250","5/17/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505303","5/16/08","Least Flycatcher","After Hatching Year","Unknown"
"B07403505460","5/16/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505494","5/15/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505570","5/15/08","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07403505627","5/23/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505653","5/23/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505704","5/23/08","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07403505735","5/23/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505780","5/23/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505810","5/22/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505863","5/22/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505895","5/22/08","Unidentified Empidonax","After Hatching Year","Unknown"
"B07403505945","5/21/08","Unidentified Empidonax","After Second Year","Unknown"
"B07403505977","5/22/08","Least Flycatcher","After Hatching Year","Unknown"
"B07403511227","11/26/13","White-eyed Vireo","Unknown","Unknown"
"B07403511621","2/6/14","Least Flycatcher","Second Year","Unknown"
"B07403511787","2/6/14","White-eyed Vireo","After Second Year","Unknown"
"B07403511940","1/24/14","Hammond's Flycatcher","Second Year","Unknown"
"B07403555305","4/26/09","Yellow-bellied Flycatcher","Second Year","Unknown"
"B07403655147","4/6/09","Eastern Wood-Pewee","After Second Year","Unknown"
"B07403969944","12/15/11","Hutton's Vireo","After Hatching Year","Unknown"
"B07404371540","3/18/14","Black-whiskered Vireo","After Second Year","Female"
"B07404862982","4/12/11","Yellow-bellied Elaenia","Second Year","Unknown"
"B07404867308","5/16/11","Olive-sided Flycatcher","After Second Year","Unknown"
"B07413010680","4/29/07","Northern Beardless-Tyrannulet","After Hatching Year","Unknown"
"B07413709570","11/27/10","Northern Beardless-Tyrannulet","Unknown","Unknown"
"B07413870860","2/3/10","Philadelphia Vireo","After Hatching Year","Unknown"
"B07413870947","2/1/10","Philadelphia Vireo","After Hatching Year","Unknown"
"B07414271032","5/5/17","Red-eyed Vireo","After Hatching Year","Unknown"
"B07414286074","4/1/17","Red-eyed Vireo","After Second Year","Unknown"
"B07423502457","9/23/13","Northern Beardless-Tyrannulet","Hatching Year","Unknown"
"B07423507014","2/20/11","Western Flycatcher","After Second Year","Unknown"
"B07423507092","2/20/11","Buff-breasted Flycatcher","After Second Year","Unknown"
"B07423507417","11/21/10","Western Flycatcher","After Hatching Year","Unknown"
"B07423507497","11/21/10","Buff-breasted Flycatcher","After Hatching Year","Unknown"
"B07423509037","9/14/11","Gray Flycatcher","Hatching Year","Unknown"
"B07423509177","9/12/11","Gray Flycatcher","Hatching Year","Unknown"
"B07423509254","9/9/11","Vermilion Flycatcher","After Hatching Year","Male"
"B07423509332","9/7/11","Gray Flycatcher","After Hatching Year","Unknown"
"B07423701972","1/23/11","Yellow-bellied Flycatcher","After Hatching Year","Unknown"
"B07433240787","10/26/08","Warbling Vireo","After Hatching Year","Unknown"
"B07433240864","10/24/08","White-eyed Vireo","After Hatching Year","Unknown"
"B07433244077","9/3/08","Traill's Flycatcher","After Hatching Year","Unknown"
"B07443017801","10/23/07","Philadelphia Vireo","Unknown","Unknown"
"B07443893037","4/11/10","Acadian Flycatcher","Second Year","Unknown"
"B07444247034","4/1/16","Red-eyed Vireo","After Second Year","Unknown"
"B07444249034","4/1/15","Red-eyed Vireo","Second Year","Unknown"
"B07453140300","10/21/10","White-eyed Vireo","After Hatching Year","Unknown"
"B07453147037","4/22/11","Least Flycatcher","Second Year","Unknown"
"B07463106777","3/14/12","White-eyed Vireo","Second Year","Unknown"
"B07463106936","2/5/11","Barn Swallow","Second Year","Unknown"
"B07463640076","4/6/11","White-eyed Vireo","Second Year","Unknown"
"B07463640300","4/3/11","Northern Rough-winged Swallow","After Hatching Year","Female"
"B07463640387","4/3/11","Northern Rough-winged Swallow","After Hatching Year","Male"
"B07463640947","4/6/11","Northern Rough-winged Swallow","After Hatching Year","Unknown"
"B01904480341","2/8/92","Loggerhead Kingbird","After Hatching Year","Unknown"
"B01904480540","1/30/92","Loggerhead Kingbird","After Hatching Year","Unknown"
"B01904480621","10/22/94","Loggerhead Kingbird","After Hatching Year","Unknown"
"B01904485540","2/5/93","Loggerhead Kingbird","After Hatching Year","Unknown"
"B01904836029","1/29/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836076","1/29/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836100","1/31/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836184","1/31/03","Loggerhead Shrike","After Hatching Year","Unknown"
"B01904836268","1/30/03","Loggerhead Shrike","After Hatching Year","Unknown"
