"band","event_date","species_name","band_type_description","bird_status_description","age_description","sex_description"
"B07324722072","6/22/15","Bahama Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B07383058128","7/15/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B07383058283","7/12/13","Black-capped Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","Hatching Year","Male"
"B07404371540","3/18/14","Black-whiskered Vireo","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Second Year","Female"
"B07423509254","9/9/11","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07463640300","4/3/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Female"
"B07463640387","4/3/11","Northern Rough-winged Swallow","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Hatching Year","Male"
"B01924380221","2/13/06","Tropical Kingbird","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B01974875034","4/7/00","Gray Kingbird","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07514549034","3/29/11","Tropical Kingbird","aluminum\butt-end (toll-free /web address)","Normal wild bird.","After Second Year","Male"
"B08623850540","1/11/75","Yellow-bellied Flycatcher","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B08623850863","2/12/75","Least Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07583013565","5/2/07","Least Flycatcher","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08634700460","1/24/97","Rose-throated Becard","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B07604172107","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B07604172186","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B07604172260","6/7/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07604175060","5/14/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07604175620","6/6/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07604175704","6/3/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B07604175781","6/3/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B07604175867","5/28/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07604175945","5/14/09","Black-whiskered Vireo","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B08664590540","5/19/90","Stolid Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07613936071","2/8/04","Northern Rough-winged Swallow","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08684060384","2/20/90","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B07683320066","2/14/08","Philadelphia Vireo","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B07683320708","4/26/08","Barn Swallow","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08704214504","1/15/91","Rose-throated Becard","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B08704837784","1/22/79","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B07704409737","11/28/10","Western Kingbird","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Male"
"B07704455544","6/2/10","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B07704680946","5/8/05","Rose-throated Becard","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B07713297032","5/27/07","Vermilion Flycatcher","aluminum\butt-end toll free","Normal wild bird.","Second Year","Male"
"B07774027037","11/7/08","Tropical Kingbird","aluminum\butt-end toll free","Normal wild bird.","Hatching Year","Male"
"B07793247033","5/15/02","Western Wood-Pewee","aluminum\butt-end toll free","Normal wild bird.","After Hatching Year","Female"
"B08754079727","5/3/80","Yellow-green Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07814970624","4/30/94","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07814970709","4/30/94","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07824048924","3/11/14","Dusky-capped Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07834300380","10/23/98","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07874181034","5/25/94","Cave Swallow","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B09124588071","2/3/76","Scissor-tailed Flycatcher","aluminum\butt end","Normal wild bird.","After Second Year","Male"
"B07903528029","10/21/95","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B07913201492","1/21/89","Greenish Elaenia","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07914810941","10/15/91","Red-eyed Vireo","aluminum\butt end","Normal wild bird.","Hatching Year","Female"
"B09134220629","9/18/86","Sulphur-bellied Flycatcher","aluminum\pre-open","Normal wild bird.","After Hatching Year","Female"
"B07923870309","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07923870463","3/24/86","Barn Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07924570067","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07924570227","5/12/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07924570627","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07924570787","5/28/93","Cave Swallow","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07933800933","4/7/84","Caribbean Elaenia","aluminum\butt end","Normal wild bird.","Second Year","Male"
"B07944970064","4/10/88","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07944970074","4/10/88","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07974280467","5/28/87","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07974287039","5/9/87","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
"B07974289038","7/16/87","Black-whiskered Vireo","aluminum\butt end","Normal wild bird.","After Hatching Year","Male"
"B07993933039","10/14/97","Caribbean Elaenia","aluminum\butt-end new address","Normal wild bird.","After Hatching Year","Female"
"B08833870067","3/19/65","Vermilion Flycatcher","aluminum\butt end","Normal wild bird.","After Hatching Year","Female"
