"First Name","Frequency Count"
"KENNETH","4"
"PENELOPE","4"
"JULIA","4"
"BURT","3"
"GENE","3"
"DAN","3"
"GROUCHO","3"
"MATTHEW","3"
"MORGAN","3"
"RUSSELL","3"
"CHRISTIAN","3"
"CUBA","3"
"ED","3"
"FAY","3"
"CAMERON","3"
"JAYNE","3"
"NICK","3"
"SCARLETT","2"
"AUDREY","2"
"MICHAEL","2"
"ADAM","2"
"LUCILLE","2"
"WOODY","2"
"DARYL","2"
"CHRISTOPHER","2"
"MARY","2"
"HUMPHREY","2"
"BEN","2"
"CATE","2"
"MENA","2"
"SPENCER","2"
"REESE","2"
"MILLA","2"
"SUSAN","2"
"GARY","2"
"ANGELA","2"
"KEVIN","2"
"FRANCES","2"
"SEAN","2"
"RIP","2"
"KIRSTEN","2"
"MINNIE","2"
"MERYL","2"
"TOM","2"
"WARREN","2"
"ALBERT","2"
"GRETA","2"
"RENEE","2"
"CHRIS","2"
"SANDRA","2"
"JOHNNY","2"
"VIVIEN","2"
"JIM","1"
"HELEN","1"
"HARRISON","1"
"GINA","1"
"MEG","1"
"GEOFFREY","1"
"CHARLIZE","1"
"JOE","1"
"CARY","1"
"FRED","1"
"MAE","1"
"RIVER","1"
"DEBBIE","1"
"LIZA","1"
"NATALIE","1"
"HENRY","1"
"SIDNEY","1"
"BETTE","1"
"OLYMPIA","1"
"KARL","1"
"ANNE","1"
"JANE","1"
"RALPH","1"
"LISA","1"
"ZERO","1"
"GOLDIE","1"
"BELA","1"
"PARKER","1"
"JENNIFER","1"
"EMILY","1"
"JADA","1"
"WILLIAM","1"
"HARVEY","1"
"JODIE","1"
"ELVIS","1"
"SALMA","1"
"GREG","1"
"SYLVESTER","1"
"ALEC","1"
"ELLEN","1"
"JAMES","1"
"SISSY","1"
"IAN","1"
"KIRK","1"
"WILL","1"
"THORA","1"
"LAURA","1"
"LAURENCE","1"
"ANGELINA","1"
"WHOOPI","1"
"JUDE","1"
"TIM","1"
"KIM","1"
"OPRAH","1"
"EWAN","1"
"VAL","1"
"CARMEN","1"
"GREGORY","1"
"JESSICA","1"
"JULIANNE","1"
"RICHARD","1"
"JEFF","1"
"AL","1"
"UMA","1"
"RAY","1"
"WALTER","1"
"MICHELLE","1"
"JUDY","1"
"JOHN","1"
"JON","1"
"DUSTIN","1"
"BOB","1"
"ROCK","1"
"GRACE","1"
"RITA","1"
"ALAN","1"
