EXTRA_INFO_CODE,EXTRA_INFO_CODE_DESCRIPTION,EXTRA_INFO_LONG_DESCRIPTION
18,Blood sample taken.,Blood sample taken (contact the appropriate Bird Banding Office for the required permit). Use with all status codes except 7.
20,Fostered or cross-fostered into wild nests.,Fostered or cross-fostered into wild nests.
21,"Fostered or cross-fostered into wild nests, plus auxiliary marker(s).","Fostered or cross-fostered into wild nests, plus one or more auxiliary markers. All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of auxiliary markers."
29,"Miscellaneous band, Federal band, plus auxiliary marker(s).","Miscellaneous band (see 06), Federal band, plus one or more auxiliary marker. All markers must be described in marker-related fields. Describe miscellaneous band type in ""Remarks"". Approval from the appropriate Banding Office is needed for use of miscellaneous bands and auxiliary markers."
33,"Taken from an artificial nest structure (eg, nest boxes, platforms, etc).","Taken from an artificial nest structure (e.g., nest boxes, platforms, etc.). Use with all status codes except 7. Includes hacked birds as code 433."
34,"Taken from an artificial nest structure, plus auxiliary marker(s).","Taken from an artificial nest structure, plus one or more auxiliary markers. All markers must be described in marker-related fields. Use with all status codes except 7. Includes hacked birds with auxiliary markers. Approval from the appropriate Banding Office is needed for use of auxiliary markers."
39,"Wing, patagial, head, back, and/or nape tag(s).","Wing, patagial, head, back, and/or nape tag(s). All markers must be described in marker-related fields. Approval from the appropriate Banding Office is needed for use of patagial markers."
40,Oiled.,"Oiled. Use with status codes 4, 5 and 7 only."
51,Nasal saddle and nasal discs or other bill marker.,"Nasal saddle and nasal discs or other bill marker - Marker must be described in marker-related fields and in ""Remarks"" if necessary.  Approval from the appropriate Banding Office is needed for use of nasal saddles and nasal discs."
85,Miscellaneous (combination or situation not covered by other ai codes).,"Miscellaneous (combination or situation not covered by other additional information codes) - An explanation is needed in ""Remarks"". For example, a bird that was color-banded, sexed by laparotomy, and blood-sampled would be 385 with an explanation ""385 = C/B, laparotomy, blood sample"". All markers must be described in marker-related fields. Approval from the appropriate Banding Office may be needed."
1,"Colored leg band(s): plastic, metal, paint, tape.",Colored leg band(s) of plastic or metal - This applies to painted or anodized Federal bands as well as colored tape over bands. Note: two metal bands should never be used on the same tarsus. Approval from the appropriate Banding Office is needed for use of colored leg bands.
6,"Misc. metal band (State, Provincial etc) with address or telephone number, plus Federal band.","Miscellaneous band - Metal bands with an additional address or telephone number, including State or Provincial bands, private organizations bands, and rarely banders. Explanation must be given in the ""Remarks"" field. Approval from the appropriate Banding Office is needed to use miscellaneous bands. ""Field-Readable"" bands and coded colored leg bands are not included here."
10,All flight feathers on one or both wings clipped or pulled plus auxiliary marker(s).,"All flight feathers on one or both wings clipped or pulled upon release, plus one or more auxiliary markers. All markers must be described in marker-related fields. Use with status 2, 3, 4 or 8 only. Approval from the appropriate Banding Office is needed for auxiliary markers."
19,"Blood sample taken, plus auxiliary marker(s).",Blood sample (contact the appropriate Bird Banding Office for the required permit(s)) plus one or more auxiliary markers used. All markers must be described in marker-related fields. Use with all status codes except 7. Approval from the appropriate Banding Office is needed for use of auxiliary markers.
